Device Name,IP Address,MAC Address,Type,Category,Location,Notes
Amazon Echo Dot,10.1.1.49,cc:9e:a2:8c:22:50,Smart Speaker,Voice,Sayville,Echo Dot 3rd Gen
Amazon Echo Dot,10.1.1.89,cc:9e:a2:a0:58:7b,Smart Speaker,Voice,Sayville,Echo Dot 3rd Gen
Amazon Echo Dot,10.1.1.90,cc:f7:35:02:4b:01,Smart Speaker,Voice,Sayville,Echo Dot 2nd Gen
Amazon Echo Dot,10.1.1.194,cc:f7:35:65:98:ab,Smart Speaker,Voice,Sayville,Echo Dot 3rd Gen
Amazon Echo Dot,10.1.1.25,cc:f7:35:e5:37:8d,Smart Speaker,Voice,Sayville,Echo Dot 5th Gen
Wyze Camera,10.1.1.12,d0:3f:27:34:41:2c,Camera,Security,Sayville,Wyze Camera
TY_WR Device,10.1.1.111,d4:a6:51:dc:ad:fa,Smart Device,Unknown,Sayville,Tuya Device
TY_WR Device,10.1.1.115,d4:a6:51:e0:30:4f,Smart Device,Unknown,Sayville,Tuya Device
Apple iPhone,10.1.1.40,d8:be:65:21:9f:49,Phone,Mobile,Sayville,iPhone 15 Pro Max
Nest Thermostat,10.1.1.35,d8:eb:46:0e:81:f5,Thermostat,Climate,Sayville,Nest Thermostat
Nest Thermostat,10.1.1.106,d8:eb:46:14:9e:cb,Thermostat,Climate,Sayville,Nest Thermostat
ESP Device,10.1.1.237,dc:4f:22:45:c2:a0,IoT,Unknown,Sayville,ESP8266/ESP32 Device
ESP Device,10.1.1.19,dc:4f:22:45:c6:f0,IoT,Unknown,Sayville,ESP8266/ESP32 Device
ESP Device,10.1.1.78,dc:4f:22:92:72:63,IoT,Unknown,Sayville,ESP8266/ESP32 Device
Amazon Echo,10.1.1.94,ec:8a:c4:0e:87:b2,Smart Speaker,Voice,Sayville,Amazon Alexa
Amazon Echo,10.1.1.147,ec:8a:c4:21:2e:f8,Smart Speaker,Voice,Sayville,Amazon Alexa
ESP Device,10.1.1.214,ec:fa:bc:00:7f:f7,IoT,Unknown,Sayville,ESP8266/ESP32 Device
ESP Device,10.1.1.171,ec:fa:bc:68:80:90,IoT,Unknown,Sayville,ESP8266/ESP32 Device
Apple iPhone,10.1.1.117,ee:c6:17:b6:37:a5,Phone,Mobile,Sayville,iPhone 15 Pro
Amazon Echo Flex,10.1.1.44,f4:03:2a:d2:68:77,Smart Speaker,Voice,Sayville,Echo Flex
TR100 Camera,10.1.1.153,fc:6b:f0:fd:0f:c4,Camera,Security,Sayville,TR100
TR100 Camera,10.1.1.225,fc:6b:f0:fe:11:6e,Camera,Security,Sayville,TR100
Alex's Bedroom AP,10.1.1.95,fc:ec:da:b6:e2:ec,Access Point,Network,Sayville,UniFi AC Pro
Lounge AP,10.1.1.50,fc:ec:da:b6:e4:d8,Access Point,Network,Sayville,UniFi AC Pro
Basement Boiler AP,10.1.1.72,fc:ec:da:b6:e9:af,Access Point,Network,Sayville,UniFi AC Pro
Office AP,10.1.1.59,fc:ec:da:b6:ea:32,Access Point,Network,Sayville,UniFi AC Pro
